Property_Key,Property_ID,Latitude,Longitude,Accommodates,Availability_365,Has_availability,Reviews_per_month,Calculated_host_listings_count,Property_type,Instant_bookable,Room_type,Bedrooms,Beds,Bathrooms,Bathrooms_type,Neighbourhood_cleansed,Number_of_reviews,Number_of_reviews_l30d,Review_scores_rating,Review_scores_accuracy,Review_scores_checkin,Review_scores_cleanliness,Review_scores_communication,Review_scores_location,Review_scores_value,Amenity_Count,avgprice
1783,21362019,52.35535,4.92149,2,0,1,0.25,3,Private room in apartment,1,Private room,1,1,1,private bath(s),Oud-Oost,9,0,98,10,10,10,10,10,9,5,80.02739726
1784,21687136,52.38951,4.8791,3,47,1,0.34,7,Private room in apartment,0,Private room,1,1,1,shared bath(s),Westerpark,12,0,86,9,9,8,9,9,9,12,66.1369863
1785,22273164,52.37418,4.96368,2,0,1,0.86,1,Private room in apartment,1,Private room,1,1,1,shared bath(s),IJburg - Zeeburgereiland,29,0,99,10,10,10,10,10,10,30,80.32876712
1786,22340003,52.37875,4.87558,2,0,1,0.17,2,Private room in apartment,0,Private room,1,2,2,shared bath(s),Westerpark,4,0,100,10,10,10,10,10,8,19,199
1787,22366904,52.36008,4.89182,2,283,1,1.09,1,Private room in apartment,0,Private room,1,1,1,private bath(s),Centrum-Oost,37,0,97,10,10,10,10,10,9,19,120
1788,22460923,52.31515,4.9692,2,178,1,1.54,2,Private room in apartment,1,Private room,1,1,1.5,shared bath(s),Bijlmer-Oost,52,0,91,9,10,8,10,8,9,18,61.36986301
1789,22556265,52.35936,4.85826,1,365,1,1.54,4,Private room in apartment,1,Private room,1,1,1,shared bath(s),De Baarsjes - Oud-West,50,0,88,9,9,9,9,10,8,19,78.01369863
1790,15710694,52.36202,4.8636,2,0,1,0.08,1,Private room in apartment,0,Private room,1,1,1.5,shared bath(s),De Baarsjes - Oud-West,4,0,0,0,0,0,0,0,0,14,90
1791,15893795,52.3721,4.8166,2,0,1,0,1,Private room in apartment,0,Private room,1,1,1,shared bath(s),Geuzenveld - Slotermeer,0,0,0,0,0,0,0,0,0,13,112
1792,16069039,52.34547,4.88931,2,0,1,1.02,2,Private room in apartment,0,Private room,1,1,1,shared bath(s),De Pijp - Rivierenbuurt,47,0,95,9,10,9,10,9,9,18,89
1793,16130364,52.34757,4.84742,2,362,1,2.2,3,Private room in apartment,1,Private room,1,2,1,shared bath(s),Zuid,59,0,98,10,10,10,10,9,9,20,64.45205479
1794,16137827,52.35786,4.85769,3,0,1,4.31,1,Private room in apartment,0,Private room,1,2,1,private bath(s),De Baarsjes - Oud-West,201,0,96,10,10,10,10,10,10,26,61.55342466
